date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:00	35708/35708	---MCZ	200	added ('OK')	text/html	etag:%22e7f5f490c05e4c8c2d6dca5642656aa9-ssl-df%22	https://customify-0066363.public.builtwithrocket.new/pages/homepage.html	C:/My%20Web%20Sites/custom%20shirts%20website/customify-0066363.public.builtwithrocket.new/pages/homepage.html	(from )
17:54:01	54083/54083	---MCZ	200	added ('OK')	text/css	etag:%22f007c056d5b3ff811d41b3b42f16a6a8-ssl-df%22	https://customify-0066363.public.builtwithrocket.new/css/main.css	C:/My%20Web%20Sites/custom%20shirts%20website/customify-0066363.public.builtwithrocket.new/css/main.css	(from https://customify-0066363.public.builtwithrocket.new/pages/homepage.html)
17:54:02	15865/15865	---M--	200	added ('OK')	text/javascript	etag:%223b972dae6998bc4e2f9eb7c73738f178%22	https://static.rocket.new/rocket-web.js?_cfg=https%3A%2F%2Fcustomify2586back.builtwithrocket.new&_be=https%3A%2F%2Fapplication.rocket.new&_v=0.1.8	C:/My%20Web%20Sites/custom%20shirts%20website/static.rocket.new/rocket-webfff1.js	(from https://customify-0066363.public.builtwithrocket.new/pages/homepage.html)
17:54:03	35708/35708	---MCZ	200	added ('OK')	text/html	etag:%22e7f5f490c05e4c8c2d6dca5642656aa9-ssl-df%22	https://customify-0066363.public.builtwithrocket.new/pages/homepage	C:/My%20Web%20Sites/custom%20shirts%20website/customify-0066363.public.builtwithrocket.new/pages/homepage-2.html	(from https://customify-0066363.public.builtwithrocket.new/pages/homepage.html)
17:54:03	50184/50184	---MCZ	200	added ('OK')	text/html	etag:%2218b1ff2a0007cf70a7a5bbe55802d604-ssl-df%22	https://customify-0066363.public.builtwithrocket.new/pages/design_studio	C:/My%20Web%20Sites/custom%20shirts%20website/customify-0066363.public.builtwithrocket.new/pages/design_studio.html	(from https://customify-0066363.public.builtwithrocket.new/pages/homepage.html)
17:54:04	58775/58775	---MCZ	200	added ('OK')	text/html	etag:%224beeb8e2fb3132a3ccc963c5ddccfcdd-ssl-df%22	https://customify-0066363.public.builtwithrocket.new/pages/product_categories	C:/My%20Web%20Sites/custom%20shirts%20website/customify-0066363.public.builtwithrocket.new/pages/product_categories.html	(from https://customify-0066363.public.builtwithrocket.new/pages/homepage.html)
17:54:04	64807/64807	---MCZ	200	added ('OK')	text/html	etag:%229875f20bb88f7e4428de33fdb8695b66-ssl-df%22	https://customify-0066363.public.builtwithrocket.new/pages/creator_gallery	C:/My%20Web%20Sites/custom%20shirts%20website/customify-0066363.public.builtwithrocket.new/pages/creator_gallery.html	(from https://customify-0066363.public.builtwithrocket.new/pages/homepage.html)
17:54:04	56939/56939	---MCZ	200	added ('OK')	text/html	etag:%224b74ad7b6251839c1c9837d8476e9ba9-ssl-df%22	https://customify-0066363.public.builtwithrocket.new/pages/business_services	C:/My%20Web%20Sites/custom%20shirts%20website/customify-0066363.public.builtwithrocket.new/pages/business_services.html	(from https://customify-0066363.public.builtwithrocket.new/pages/homepage.html)
17:54:05	86174/86174	---MCZ	200	added ('OK')	text/html	etag:%22dc3f86bfad45cf3140d5472bc6ef8e41-ssl-df%22	https://customify-0066363.public.builtwithrocket.new/pages/order_tracking_account	C:/My%20Web%20Sites/custom%20shirts%20website/customify-0066363.public.builtwithrocket.new/pages/order_tracking_account.html	(from https://customify-0066363.public.builtwithrocket.new/pages/homepage.html)
17:54:05	328187/328187	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Sep%202025%2003:08:16%20GMT	https://images.pexels.com/photos/996329/pexels-photo-996329.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	C:/My%20Web%20Sites/custom%20shirts%20website/images.pexels.com/photos/996329/pexels-photo-9963299245.jpg	(from https://customify-0066363.public.builtwithrocket.new/pages/homepage.html)
17:54:06	363593/363593	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Sep%202025%2020:54:31%20GMT	https://images.pexels.com/photos/7679720/pexels-photo-7679720.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	C:/My%20Web%20Sites/custom%20shirts%20website/images.pexels.com/photos/7679720/pexels-photo-76797209245.jpg	(from https://customify-0066363.public.builtwithrocket.new/pages/homepage.html)
17:54:06	108476/108476	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Aug%202025%2007:17:57%20GMT	https://images.pexels.com/photos/1040945/pexels-photo-1040945.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	C:/My%20Web%20Sites/custom%20shirts%20website/images.pexels.com/photos/1040945/pexels-photo-10409459245.jpg	(from https://customify-0066363.public.builtwithrocket.new/pages/homepage.html)
17:54:06	383479/383479	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Aug%202025%2022:10:10%20GMT	https://images.pexels.com/photos/2041627/pexels-photo-2041627.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	C:/My%20Web%20Sites/custom%20shirts%20website/images.pexels.com/photos/2041627/pexels-photo-20416279245.jpg	(from https://customify-0066363.public.builtwithrocket.new/pages/homepage.html)
17:54:06	141951/141951	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Aug%202025%2001:44:39%20GMT	https://images.pexels.com/photos/1040880/pexels-photo-1040880.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	C:/My%20Web%20Sites/custom%20shirts%20website/images.pexels.com/photos/1040880/pexels-photo-10408809245.jpg	(from https://customify-0066363.public.builtwithrocket.new/pages/homepage.html)
17:54:07	103454/103454	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Sep%202025%2020:10:56%20GMT	https://images.pexels.com/photos/1040881/pexels-photo-1040881.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	C:/My%20Web%20Sites/custom%20shirts%20website/images.pexels.com/photos/1040881/pexels-photo-10408819245.jpg	(from https://customify-0066363.public.builtwithrocket.new/pages/homepage.html)
17:54:08	6536/6536	---MCZ	200	added ('OK')	application/javascript	etag:%22c59d32bca95e5ed8ba21ff8396451831-ssl-df%22	https://customify-0066363.public.builtwithrocket.new/public/dhws-data-injector.js	C:/My%20Web%20Sites/custom%20shirts%20website/customify-0066363.public.builtwithrocket.new/public/dhws-data-injector.js	(from https://customify-0066363.public.builtwithrocket.new/pages/homepage.html)
17:54:08	236594/236594	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20Jul%202025%2017:55:53%20GMT	https://images.pexels.com/photos/1579708/pexels-photo-1579708.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	C:/My%20Web%20Sites/custom%20shirts%20website/images.pexels.com/photos/1579708/pexels-photo-15797089245.jpg	(from https://customify-0066363.public.builtwithrocket.new/pages/product_categories)
17:54:08	361336/361336	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Aug%202025%2006:20:23%20GMT	https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	C:/My%20Web%20Sites/custom%20shirts%20website/images.pexels.com/photos/1571460/pexels-photo-15714609245.jpg	(from https://customify-0066363.public.builtwithrocket.new/pages/product_categories)
17:54:09	50184/50184	---MCZ	200	added ('OK')	text/html	etag:%2218b1ff2a0007cf70a7a5bbe55802d604-ssl-df%22	https://customify-0066363.public.builtwithrocket.new/pages/design_studio.html	C:/My%20Web%20Sites/custom%20shirts%20website/customify-0066363.public.builtwithrocket.new/pages/design_studio-2.html	(from https://customify-0066363.public.builtwithrocket.new/pages/creator_gallery)
17:54:09	137328/137328	---M--	200	added ('OK')	image/jpeg	date:Tue,%2002%20Sep%202025%2016:35:29%20GMT	https://images.pexels.com/photos/1040882/pexels-photo-1040882.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	C:/My%20Web%20Sites/custom%20shirts%20website/images.pexels.com/photos/1040882/pexels-photo-10408829245.jpg	(from https://customify-0066363.public.builtwithrocket.new/pages/creator_gallery)
17:54:09	29/29	---M--	404	error ('Not%20Found')	text/html,text/html	date:Sun,%2007%20Sep%202025%2021:54:09%20GMT	https://images.pexels.com/photos/1040946/pexels-photo-1040946.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	C:/My%20Web%20Sites/custom%20shirts%20website/images.pexels.com/photos/1040946/pexels-photo-10409469245.jpeg	(from https://customify-0066363.public.builtwithrocket.new/pages/creator_gallery)
17:54:10	29/29	---M--	404	error ('Not%20Found')	text/html,text/html	date:Sun,%2007%20Sep%202025%2021:54:09%20GMT	https://images.pexels.com/photos/1040947/pexels-photo-1040947.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	C:/My%20Web%20Sites/custom%20shirts%20website/images.pexels.com/photos/1040947/pexels-photo-10409479245.jpeg	(from https://customify-0066363.public.builtwithrocket.new/pages/creator_gallery)
17:54:10	165912/165912	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Sep%202025%2004:10:35%20GMT	https://images.pexels.com/photos/1040883/pexels-photo-1040883.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2	C:/My%20Web%20Sites/custom%20shirts%20website/images.pexels.com/photos/1040883/pexels-photo-10408839245.jpg	(from https://customify-0066363.public.builtwithrocket.new/pages/creator_gallery)
17:54:10	56939/56939	---MCZ	200	added ('OK')	text/html	etag:%224b74ad7b6251839c1c9837d8476e9ba9-ssl-df%22	https://customify-0066363.public.builtwithrocket.new/pages/business_services.html	C:/My%20Web%20Sites/custom%20shirts%20website/customify-0066363.public.builtwithrocket.new/pages/business_services-2.html	(from https://customify-0066363.public.builtwithrocket.new/pages/creator_gallery)
